original	collapsed
Adipose_Subcutaneous	Adipose
Adipose_Visceral_Omentum	Adipose
Adrenal_Gland	Adrenal Gland
Artery_Aorta	Artery
Artery_Coronary	Artery
Artery_Tibial	Artery
Brain_Anterior_cingulate_cortex_BA24	Brain
Brain_Caudate_basal_ganglia	Brain
Brain_Cerebellar_Hemisphere	Brain
Brain_Cerebellum	Brain
Brain_Cortex	Brain
Brain_Frontal_Cortex_BA9	Brain
Brain_Hippocampus	Brain
Brain_Hypothalamus	Brain
Brain_Nucleus_accumbens_basal_ganglia	Brain
Brain_Putamen_basal_ganglia	Brain
Breast_Mammary_Tissue	Brain
Cells_EBV-transformed_lymphocytes	LCL
Cells_Transformed_fibroblasts	Fibroblasts
Colon_Sigmoid	Colon
Colon_Transverse	Colon
dase.sf.rpkm	HCASMC
Esophagus_Gastroesophageal_Junction	Esophagus
Esophagus_Mucosa	Esophagus
Esophagus_Muscularis	Esophagus
hcasmc.rpkm	HCASMC
Heart_Atrial_Appendage	Heart
Heart_Left_Ventricle	Heart
Liver	Liver
Lung	Lung
Muscle_Skeletal	Muscle
Nerve_Tibial	Nerve
Ovary	Ovary
Pancreas	Pancreas
Pituitary	Pituitary
Prostate	Prostate
Skin_Not_Sun_Exposed_Suprapubic	Skin
Skin_Sun_Exposed_Lower_leg	Skin
Small_Intestine_Terminal_Ileum	Intestine
Spleen	Spleen
Stomach	Stomach
Testis	Testis
Thyroid	Thyroid
Uterus	Uterus
Vagina	Vagina
Whole_Blood	Blood
